"Speciality","contract","LicenseNumber","LocationNumber","FacInstanceId","FacilityType","FacilityName","FacilityStatus","LocationAddress","LocationCity","LocationState","LocationZipCode","LocationCounty","MailAddress","MailCity","MailState","MailZipCode","TelephoneNmbr","FaxNmbr","ConfidentialFaxNmbr","RCSRegionUnit","SpecialityCode","ContractCode","FacilityPOC","LicensedBedCount","LicenseExpirationDate","CheckCompleteDate","CheckType","POCId","MemoryCertFlag","Disclosure of Services","Has Reports?","Reports Location",
"Dementia","No Contract","750902","40008598","39714","AF  ","FLEUR DE LIS II","OP    ","3207 S FISHER COURT","KENNEWICK","WA","99337     ","Benton","3203 S FISHER CT","KENNEWICK","WA","99337","(509) 582-6200","(509) 418-5973","","1C","SPDE","","Lang Jones, Debra L.","6","","","","1019189","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=750902","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=750902",
"Dementia","No Contract","751427","40009057","40461","AF  ","FLEUR DE LIS III","OP    ","3117 S FISHER CT #B","KENNEWICK","WA","99337     ","Benton","3117 S FISHER CT #B","KENNEWICK","WA","99337     ","(509) 582-6200","","(509) 418-5973","1C","SPDE","","Patton-Morris, Paige E.","6","","","","1018783","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751427","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751427",
"Dementia","No Contract","751449","40009137","40578","AF  ","FLEUR DE LIS IV","OP    ","3117 S FISHER CT #B","KENNEWICK","WA","99337","Benton","3117 S FISHER CT #B","KENNEWICK","WA","99337","(509) 582-6200","","(509) 418-5973","1C","SPDE","","Lang Jones, Debra L.","6","","","","1019189","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751449","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751449",
"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home","753268","40010249","44041","AF  ","From the Heart AFH Inc","OP    ","1428 W 1st Ave","Kennewick","WA","99336","Benton","4408 Artesia Dr","Pasco","WA","99301","(509) 420-9899","","(509) 545-5117","1C","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Usher (Masterson), Jena","6","","","","1023294","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753268","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753268",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home","753316","40005466","44325","AF  ","Gentle Hands Home Care LLC","OP    ","1508 S Olympia Pl","Kennewick","WA","99337","Benton","1508 S Olympia Pl","Kennewick","WA","99337","(509) 619-0330","","(509) 572-2902","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Babiy, Alla","6","","","","921669","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753316","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753316",
"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home","753389","40009390","44429","AF  ","Grandridge Meadows AFH LLC","OP    ","207 N QUEBEC ST","KENNEWICK","WA","99336","Benton","207 N QUEBEC ST","KENNEWICK","WA","99336","(509) 430-2376","(509) 210-5591","","1C","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Korf, Marina","6","","","","1025439","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753389","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753389",
"Mental Health, Dementia","Adult Family Home","757832","40007132","50746","AF  ","Harmony Haven","OP    ","2620 W Deschutes Ave","Kennewick","WA","99336","Benton","404 North Conway street","Kennewick","WA","99336","(509) 783-2888","","","1C","SPMI, SPDE","1080XS-12 ","Dallas, Toni R.","6","","","","224142","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757832","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757832",
"Mental Health, Dementia","Adult Family Home","757082","40013283","49601","AF  ","Horse Heaven Adult Family Home LLC","OP    ","6291 W 32nd Ave","Kennewick","WA","99338","Benton","6291 W 32nd Ave","Kennewick","WA","99338","(509) 440-3884","","(509) 561-0530","1C","SPMI, SPDE","1080XS-12 ","Patrick, Michele L.","6","","","","1022874","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757082","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757082",
"Mental Health, Dementia","Adult Family Home","758964","40015124","52264","AF  ","Kamiakin Haven AFH LLC","OP    ","628 N Arthur St","Kennewick","WA","99336","Benton","628 N Arthur St","Kennewick","WA","99336","(509) 460-6161","","","1C","SPMI, SPDE","1080XS-12 ","Rakhmestryuk, Benjamin","6","","","","1029168","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758964","No"," ",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","755296","40011597","46855","AF  ","Kennewick Gardens Adult Family Home LLC","OP    ","1808 W 28th Ave","Kennewick","WA","99337","Benton","1808 W 28th Ave","Kennewick","WA","99337","(509) 579-0263","","(509) 579-0264","1C","SPMI, SPDE, SPDD","1080XS-12 ","Tengbom, Rachael","6","","","","1025188","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755296","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=755296",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home","757626","40013772","50326","AF  ","Larkspur Cottage Adult Family Home","OP    ","3231 W 13th Ave","Kennewick","WA","99338","Benton","3231 W 13th Ave","Kennewick","WA","99338","(509) 396-7189","","(509) 987-1248","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Diaz, Brandi","6","","","","1077861","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757626","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757626",
"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home","755304","40002910","47509","AF  ","Legacy","OP    ","2614 W Deschutes Ave","Kennewick","WA","99336","Benton","404 N Conway St","Kennewick","WA","99336","(509) 627-7745","","(509) 783-7945","1C","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Perez, Erica","6","","","","169768","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755304","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=755304",
"Mental Health, Dementia","Adult Family Home","755872","40006746","47944","AF  ","Legacy Adult Family Homes LLC","OP    ","2621 W Entiat Ave","Kennewick","WA","99336","Benton","404 N Conway St","Kennewick","WA","99336","(509) 627-7745","","(509) 783-7945","1C","SPMI, SPDE","1080XS-12 ","Dallas, Toni R.","6","","","","224142","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755872","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=755872",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home","752898","40008641","43714","AF  ","Leslie Canyon","OP    ","1440 Oxford Ave","Richland","WA","99352","Benton","2839 W Kennewick Ave #312","Kennewick","WA","99336","(509) 380-5166","","(509) 380-5463","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Hollenback, Luzvilla B.","6","","","","749689","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752898","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752898",
