"Speciality","contract","LicenseNumber","LocationNumber","FacInstanceId","FacilityType","FacilityName","FacilityStatus","LocationAddress","LocationCity","LocationState","LocationZipCode","LocationCounty","MailAddress","MailCity","MailState","MailZipCode","TelephoneNmbr","FaxNmbr","ConfidentialFaxNmbr","RCSRegionUnit","SpecialityCode","ContractCode","FacilityPOC","LicensedBedCount","LicenseExpirationDate","CheckCompleteDate","CheckType","POCId","MemoryCertFlag","Disclosure of Services","Has Reports?","Reports Location",
"Mental Health, Dementia, Developmental Disabilities","HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","755433","40011829","47249","AF  ","Aangels Heart AFH LLC","OP    ","3424 Ocean Beach Hwy","Longview","WA","98632","Cowlitz","3424 Ocean Beach Hwy","Longview","WA","98632","(360) 998-2851","","(360) 261-7395","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Githinji, Mary R.","6","","","","565541","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755433","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=755433",
"Mental Health, Dementia, Developmental Disabilities","HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","750379","40008194","39021","AF  ","ADELINES GARDENS LLC","OP    ","182 RASPBERRY LANE","WOODLAND","WA","98674     ","Cowlitz","182 RASPBERRY LANE","WOODLAND","WA","98674     ","(360) 841-8134","","(360) 841-8124","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Trewhella, Kevin C.","5","","","","944838","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=750379","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=750379",
"Mental Health, Dementia","Adult Family Home","753934","40010740","45198","AF  ","Angel's View Adult Family Home","OP    ","2329 W Castleman St","Longview","WA","98632","Cowlitz","115 Autumn Hills Rd","Kelso","WA","98626","(360) 749-1091","(360) 703-6483","","3F","SPMI, SPDE","1080XS-12 ","HUMMEL, JENNIFER L.","6","","","","519895","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753934","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753934",
"Mental Health, Dementia, Developmental Disabilities","DDA Meaningful Day, Adult Family Home","757796","40009527","50605","AF  ","BELLA CARE AFH","OP    ","2304 W Castleman St","Longview","WA","98632","Cowlitz","2304 W Castleman St","Longview","WA","98632","(206) 606-3580","","","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","Kabucho, Willie N.","6","","","","632845","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757796","No"," ",
"Mental Health, Dementia, Developmental Disabilities","No Contract","759064","40015324","52551","AF  ","Castle Hill 2 AFH","OP    ","2050 Cascade Way","Longview","WA","98632","Cowlitz","2050 Cascade Way","Longview","WA","98632","(360) 703-3470","","","3F","SPMI, SPDE, SPDD","","Karanja, Lilian","6","","","","1014445","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=759064","No"," ",
"Mental Health, Dementia, Developmental Disabilities","HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","757778","40009938","50604","AF  ","Castle Hill AFH","OP    ","2306 W Castleman St","Longview","WA","98632","Cowlitz","2306 W Castleman St","Longview","WA","98632","(253) 325-7745","","(360) 703-3099","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Karanja, Lilian","6","","","","1014445","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757778","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757778",
"Mental Health, Dementia","Adult Family Home","757122","40001308","49887","AF  ","Cedar Gardens of Longview","OP    ","26 W PINE LANE","LONGVIEW","WA","98632","Cowlitz","26 W PINE LANE","LONGVIEW","WA","98632","(850) 339-8809","","(360) 242-0045","3F","SPMI, SPDE","1080XS-12 ","Stinnett, Kareem","6","","","","722772","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757122","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757122",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","757225","40001371","50003","AF  ","Cedar Gardens of Longview II","OP    ","28 W Pine Ln","Longview","WA","98632","Cowlitz","28 W Pine Ln","Longview","WA","98632","(360) 578-0279","","(360) 242-0045","3F","SPMI, SPDE, SPDD","1080XS-12 ","Stinnett, Kareem","6","","","","722772","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757225","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757225",
"Mental Health, Dementia","HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","754031","40010816","45349","AF  ","Cedrian Adult Family Home LLC","OP    ","491 Windflower Dr","Woodland","WA","98674","Cowlitz","491 Windflower Dr","Woodland","WA","98674","(360) 562-1741","","(360) 841-8147","3F","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Gabales, Liza F.","6","","","","777785","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754031","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754031",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home","758326","40014434","51239","AF  ","Country Club Drive AFH","OP    ","30 Country Club Dr","Longview","WA","98632","Cowlitz","30 Country Club Dr","Longview","WA","98632","(360) 703-3568","","","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Nakanjako, Dorothy N.","6","","","","490533","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758326","No"," ",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","758329","40014493","51365","AF  ","DASH POINT ADULT FAMILY HOME LLC","OP    ","160 Livingston Heights Dr","Longview","WA","98632","Cowlitz","160 Livingston Heights Dr","Longview","WA","98632","(360) 644-7162","","","3F","SPMI, SPDE, SPDD","1080XS-12 ","Wubie, Tadla A.","6","","","","617447","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758329","No"," ",
"Mental Health, Dementia, Developmental Disabilities","HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","753911","40008095","45285","AF  ","Elim Adult Family Home LLC","OP    ","2129 Branch Creek Dr","Longview","WA","98632","Cowlitz","2129 Branch Creek Dr","Longview","WA","98632","(360) 425-2055","","(360) 425-2055","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Waweru, Serah W.","6","","","","605591","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753911","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753911",
"Mental Health, Dementia, Developmental Disabilities","HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","755229","40009579","47255","AF  ","Elim B Adult Family Home LLC","OP    ","2437 50th Ave","Longview","WA","98632","Cowlitz","2437 50th Ave","Longview","WA","98632","(360) 232-8230","","(360) 998-2762","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Waweru, Serah W.","6","","","","605591","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755229","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=755229",
"Mental Health, Dementia","HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","755822","40008357","47839","AF  ","Gift Adult Family Home LLC","OP    ","2441 Hickory Ave","Longview","WA","98632","Cowlitz","2441 Hickory Ave","Longview","WA","98632","(360) 575-9357","","(206) 774-6420","3F","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Chekol, Zelalem","6","","","","1020156","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755822","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=755822",
"Mental Health, Dementia, Developmental Disabilities","HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","757577","40004650","50467","AF  ","Heartland AFH LLC","OP    ","3542 Ocean Beach Hwy","Longview","WA","98632","Cowlitz","3542 Ocean Beach Hwy","Longview","WA","98632","(360) 425-3054","","","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Mwangi, Lucy","6","","","","1095541","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757577","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757577",
"Mental Health, Dementia, Developmental Disabilities","HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","752346","40000312","41762","AF  ","Henderson's Adult Family Home","OP    ","122 Vista Dr","Woodland","WA","98674","Cowlitz","PO Box 541","Woodland","WA","98674","(360) 225-9611","(360) 225-4703","","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Stenson, Kimberly L.","6","","","","1022727","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752346","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752346",
"Mental Health, Dementia","No Contract","753805","40010606","44901","AF  ","Holly Care Homes","OP    ","205 Pelican Dr","Kelso","WA","98626","Cowlitz","205 Pelican Dr","Kelso","WA","98626","(360) 353-5717","","(360) 998-3420","3F","SPMI, SPDE","","Holly, Kristy L.","6","","","","545058","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753805","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753805",
"Mental Health, Dementia, Developmental Disabilities","HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","757200","40009344","49941","AF  ","Kalama Adult Family Home, LLC","OP    ","192 Kilkelly Rd","Kalama","WA","98625","Cowlitz","807 NW 77th Street","Vancouver","WA","98665","(360) 673-1777","","","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Tang, James Y.","6","","","","514134","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757200","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757200",
"Mental Health, Dementia","No Contract","752569","40009610","42209","AF  ","Katharina Banceu AFH","OP    ","111 Krestview Ln","Woodland","WA","98674","Cowlitz","111 Krestview Ln","Woodland","WA","98674","(360) 225-3678","","","3F","SPMI, SPDE","","Banceu, Katharina","2","","","","1024468","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752569","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752569",
"Mental Health, Dementia","Adult Family Home","757355","40010278","50176","AF  ","LACHINE FAMILY HOME LLC","OP    ","175 Balboa Loop","Kelso","WA","98626","Cowlitz","175 Balboa Loop","Kelso","WA","98626","(360) 353-3690","","(360) 472-4595","3F","SPMI, SPDE","1080XS-12 ","Lachine, Barbara","6","","","","1072034","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757355","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757355",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","756985","40013252","49561","AF  ","LONGVIEW ADULT FAMILY HOME LLC","OP    ","1919 BRANCH CREEK DRIVE","LONGVIEW","WA","98632","Cowlitz","1919 BRANCH CREEK DRIVE","LONGVIEW","WA","98632","(602) 781-3559","","","3F","SPMI, SPDE, SPDD","1080XS-12 ","Awungshi, Damaris","6","","","","1026049","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=756985","No"," ",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","757588","40013783","50351","AF  ","Longview Caring Manor LLC","OP    ","3309 William Ave","Longview","WA","98632","Cowlitz","3309 William Ave","Longview","WA","98632","(360) 261-7424","","(360) 583-3462","3F","SPMI, SPDE, SPDD","1080XS-12 ","Benson, Loise W.","6","","","","1003151","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757588","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757588",
"Mental Health","Specialized Behavior Support, Expanded Community Services, Adult Family Home","752954","40010071","43651","AF  ","Mini Niemi AFH Corp","OP    ","258 Niemi Rd","Longview","WA","98632","Cowlitz","258 Niemi Rd","Longview","WA","98632","(360) 414-9133","","","3F","SPMI","1080XS-12 , 1080XS-12 , 1080XS-12 ","Gloor, Brenda L.","4","","","","1019308","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752954","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752954",
"Mental Health, Dementia","Adult Family Home","758092","40014309","51070","AF  ","Orchids Bloom Family Home LLC","OP    ","4421 Pennsylvania St","Longview","WA","98632","Cowlitz","4421 Pennsylvania St","Longview","WA","98632","(564) 227-9535","","","3F","SPMI, SPDE","1080XS-12 ","Peregrino, Corazon","4","","","","1152595","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758092","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=758092",
"Mental Health, Dementia","Adult Family Home","750286","40005086","38927","AF  ","PACIFIC COUNTRY HOME LLC","OP    ","3205 PACIFIC WAY","LONGVIEW","WA","98632","Cowlitz","3205 PACIFIC WAY","LONGVIEW","WA","98632","(360) 578-9252","","(360) 578-9160","3F","SPMI, SPDE","1080XS-12 ","Zimmerman, Heidi R.","5","","","","508694","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=750286","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=750286",
"Mental Health, Dementia","HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","753305","40005613","44266","AF  ","Pacific Country Homes 2","OP    ","3215 Pacific Way","Longview","WA","98632","Cowlitz","3215 Pacific Way","Longview","WA","98632","(360) 578-1918","(360) 423-2162","","3F","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Estacio, Annaliza","6","","","","783313","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753305","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753305",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","756771","40013031","49238","AF  ","Remar Adult Family Home LLC","OP    ","3139 Maple St","Longview","WA","98632","Cowlitz","3139 Maple St","Longview","WA","98632","(564) 217-4085","(564) 217-4086","","3F","SPMI, SPDE, SPDD","1080XS-12 ","Smith, CECILIA A.","6","","","","469766","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=756771","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=756771",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","750225","40008078","38820","AF  ","RIVER BEND ADULT FAMILY HOME INC","OP    ","2439 HICKORY AVE","LONGVIEW","WA","98632     ","Cowlitz","PO Box 665","Longview","WA","98632","(360) 423-1284","","(360) 353-5657","3F","SPMI, SPDE, SPDD","1080XS-12 ","Frieberger-Rennells, Sarah M.","6","","","","753625","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=750225","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=750225",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","398604","40003986","35714","AF  ","RIVER BEND ADULT FAMILY HOME INC","OP    ","101 MISSION RD","KELSO","WA","98626","Cowlitz","PO Box 665","Longview","WA","98632","(360) 575-9347","","(360) 577-2610","3F","SPMI, SPDE, SPDD","1080XS-12 ","Frieberger-Rennells, Sarah M.","6","","","","753625","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=398604","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=398604",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","758952","40015056","52165","AF  ","River Watch Care Home","OP    ","195 Eli Avery Ave","Kalama","WA","98625","Cowlitz","PO Box 713","Kalama","WA","98625","(541) 610-6656","","","3F","SPMI, SPDE, SPDD","1080XS-12 ","Levin, Jeremy A.","6","","","","1260552","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758952","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=758952",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","757941","40005462","51017","AF  ","Rose Adult Family Home LLC","OP    ","3728 Sunset Way","Longview","WA","98632","Cowlitz","3728 Sunset Way","Longview","WA","98632","(206) 476-2809","","(360) 838-2211","3F","SPMI, SPDE, SPDD","1080XS-12 ","Yohannes, Yerusalem G.","6","","","","876925","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757941","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757941",
"Mental Health, Dementia","Adult Family Home","758709","40014866","51887","AF  ","Silverlake Happy Oasis","OP    ","163 Rogers Rd","Silverlake","WA","98645","Cowlitz","163 Rogers Rd","Silverlake","WA","98645","(360) 852-7667","","","3A","SPMI, SPDE","1080XS-12 ","Kosgei, Joan C.","6","","","","1233123","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758709","No"," ",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home","754491","40011106","45997","AF  ","Sires Meadow LLC","OP    ","2430 Sires Lane","Longview","WA","98632","Cowlitz","2430 Sires Lane","Longview","WA","98632","(360) 266-7054","","","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Tilton, Joenena","6","","","","1019689","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754491","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754491",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","756745","40005168","49159","AF  ","Tea Time Lifestyle LLC","OP    ","2271 Hazel Dell Rd","Castle Rock","WA","98611","Cowlitz","2271 Hazel Dell Rd","Castle Rock","WA","98611","(564) 777-2024","","(564) 777-2098","3F","SPMI, SPDE, SPDD","1080XS-12 ","Tu, Chuan C.","6","","","","1024513","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=756745","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=756745",
"Mental Health, Dementia","Adult Family Home","758715","40014964","52037","AF  ","TERRY TAYLOR ADULT FAMILY HOME LLC","OP    ","2751 Taylor Ave","Longview","WA","98632","Cowlitz","2751 Taylor Ave","Longview","WA","98632","(360) 433-0366","","","3F","SPMI, SPDE","1080XS-12 ","MIHAI-LAZAR, ELENA C.","6","","","","1078544","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758715","No"," ",
"Mental Health, Dementia, Developmental Disabilities","Expanded Community Services, Adult Family Home","179102","40001791","33298","AF  ","THE WALKER HOUSE","OP    ","4326 PINE ST","LONGVIEW","WA","98632","Cowlitz","4326 PINE ST","LONGVIEW","WA","98632","(360) 423-5080","","(360) 232-8115","3F","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","Derum, Vickie L.","6","","","","1016422","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=179102","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=179102",
"Mental Health, Dementia","HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","750742","40008414","39411","AF  ","Zoe Adult Family Home","OP    ","2091 Spruce Ave","Woodland","WA","98674","Cowlitz","2091 Spruce Ave","Woodland","WA","98674","(360) 225-1639","","(360) 225-8452","3F","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Schiopu, Alina C.","6","","","","442222","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=750742","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=750742",
"Mental Health, Dementia","HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","752625","40009946","42247","AF  ","Angells on Whidbey Adult Family Home","OP    ","905 Burroughs Ave","Oak Harbor","WA","98277","Island","905 Burroughs Ave","Oak Harbor","WA","98277","(360) 679-4688","(360) 682-5111","","2B","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Brodt, Chrysta S.","6","","","","475483","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752625","No"," ",
