"Speciality","contract","Check_Type","LicenseNumber","LocationNumber","FacInstanceId","FacilityType","FacilityName","FacilityStatus","LocationAddress","LocationCity","LocationState","LocationZipCode","LocationCounty","MailAddress","MailCity","MailState","MailZipCode","TelephoneNmbr","FaxNmbr","ConfidentialFaxNmbr","RCSRegionUnit","SpecialityCode","ContractCode","FacilityPOC","LicensedBedCount","LicenseExpirationDate","CheckCompleteDate","CheckType","POCId","MemoryCertFlag","Has Reports?","Reports Location",
"None","Specialized Dementia Care, Enhanced Adult Residential Care","","2511","60001204","45603","BH  ","Callaway Gardens Alzheimers Special Care Center","OP    ","5505 W Skagit Ct","Kennewick","WA","99336","Benton","5505 W Skagit Ct","Kennewick","WA","99336","(509) 783-5433","","(509) 736-6367","1G","","1027XS-12 , 1006XS-12 ","Riojas, Laura","56","2/28/2027 12:00:00 AM","","","201593","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2511",
"None","No Contract","","2449","60009589","44923","BH  ","Ciel Senior Living of the Tri-Cities","OP    ","7255 W Grandridge Blvd","Kennewick","WA","99336","Benton","7255 W Grandridge Blvd","Kennewick","WA","99336","(509) 491-3946","","(509) 491-3947","1G","","","Parmelee, Lauren","105","5/31/2026 12:00:00 AM","","","1098070","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2449",
"None","No Contract","","2448","60009582","44922","BH  ","Ciel Senior Living of the Tri-Cities Memory Care","OP    ","575 N Young St","Kennewick","WA","99336","Benton","575 N Young St","Kennewick","WA","99336","(509) 581-5426","","(509) 491-3948","1G","","","Parmelee, Lauren","69","8/31/2026 12:00:00 AM","","","1098070","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2448",
"None","Enhanced Adult Residential Care, Assisted Living Services ECS","","1513","60008866","30723","BH  ","GUARDIAN ANGEL HOMES (THE COTTAGE)","OP    ","245 Van Giesen St","Richland","WA","99354","Benton","245 Van Giesen St","Richland","WA","99354","(509) 943-2100","","(509) 943-2130","1G","","1006XS-12 , 1006XS-12 ","MILLER, LAURA","96","10/31/2026 12:00:00 AM","","","209892","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1513",
"None","No Contract","","1268","60003528","30548","BH  ","HAWTHORNE COURT","OP    ","524 N Ely St","Kennewick","WA","99336","Benton","524 N ELY","KENNEWICK","WA","99336","(509) 783-8313","","(509) 783-5142","1G","","","Conley, Felisha","65","6/30/2026 12:00:00 AM","","","1291071","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1268",
"None","Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living Services ECS, Adult Residential Care","","2667","60008804","48852","BH  ","NorthCare Fisher","OP    ","520 N FISHER STREET","KENNEWICK","WA","99336","Benton","520 N FISHER STREET","KENNEWICK","WA","99336","(509) 734-3311","","(509) 734-1981","1G","","1027XS-12 , 1006XS-12 , 1006XS-12 , 1007XS-12 ","Garcia, Ernestina","16","7/31/2026 12:00:00 AM","","","749851","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2667",
"None","Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living Services ECS, Adult Residential Care","","2664","60008902","48851","BH  ","NorthCare Hoxie","OP    ","1939 Hoxie Ave","Richland","WA","99354","Benton","1939 Hoxie Ave","Richland","WA","99354","(509) 943-5411","","(509) 943-6573","1G","","1027XS-12 , 1006XS-12 , 1006XS-12 , 1007XS-12 ","BLANCO, KELSIE","16","3/31/2027 12:00:00 AM","","","156449","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2664",
"None","Enhanced Adult Residential Care, Assisted Living Services ECS, Adult Residential Care","","2734","60009625","50272","BH  ","NorthCare Kennewick","OP    ","3321 W 10th Ave","Kennewick","WA","99336","Benton","3321 W 10th Ave","Kennewick","WA","99336","(509) 528-5810","","(509) 792-1208","1G","","1006XS-12 , 1006XS-12 , 1007XS-12 ","Garcia, Ernestina","28","8/31/2026 12:00:00 AM","","","749851","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2734",
"None","Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living Services ECS, Adult Residential Care","","2665","60008805","48853","BH  ","NorthCare Olympia","OP    ","1208 W 11TH PL","KENNEWICK","WA","99337","Benton","1208 W 11TH PL","KENNEWICK","WA","99337","(509) 582-3832","","(509) 582-4572","1G","","1027XS-12 , 1006XS-12 , 1006XS-12 , 1007XS-12 ","Garcia, Ernestina","16","5/31/2027 12:00:00 AM","","","749851","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2665",
"None","Assisted Living SOW","","2025","60009520","40208","BH  ","Parkview Estates","OP    ","7820 W 6th Ave","Kennewick","WA","99336","Benton","7820 W 6th Ave","Kennewick","WA","99336","(509) 734-9773","","(509) 734-9774","1G","","1002XS-12 ","Arnold, Sonya","130","1/31/2027 12:00:00 AM","","","213505","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2025",
"None","Assisted Living SOW","","2709","60008971","50253","BH  ","Richland Assisted Living","OP    ","1745 Pike Ave","Richland","WA","993542295","Benton","1745 Pike Ave","Richland","WA","99354-2295","(509) 946-8095","","(509) 946-4160","1G","","1002XS-12 ","Kaiser, Hollie L.","26","9/30/2026 12:00:00 AM","","","749916","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2709",
"None","Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care","","2581","60000868","46796","BH  ","Royal Columbian Senior Living","OP    ","5615 W Umatilla Ave","Kennewick","WA","99336","Benton","5615 W Umatilla Ave","Kennewick","WA","99336","(509) 783-1628","","(509) 783-3096","1G","","1006XS-12 , 1002XS-12 , 1007XS-12 ","Huetter, Robyn","100","2/28/2027 12:00:00 AM","","","749474","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2581",
"None","Enhanced Adult Residential Care, Assisted Living Services ECS, Adult Residential Care","","2206","60009564","41933","BH  ","Ruan's Garden","OP    ","3502 W 4th Ave","Kennewick","WA","99336","Benton","2839 W Kennewick Ave #312","Kennewick","WA","99336","(509) 783-9305","","(509) 783-9235","1G","","1006XS-12 , 1006XS-12 , 1007XS-12 ","Hollenback, Luzvilla B.","15","8/31/2026 12:00:00 AM","","","749689","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2206",
"None","Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW, Assisted Living Services ECS","","1440","60008769","30675","BH  ","SUN TERRACE PROSSER","OP    ","2131 WINE COUNTRY ROAD","PROSSER","WA","99350","Benton","2131 WINE COUNTRY ROAD","PROSSER","WA","99350","(509) 786-3300","","(509) 786-3350","1G","","1027XS-12 , 1006XS-12 , 1002XS-12 , 1002XS-12 ","Herrera, Carrie L.","95","10/31/2026 12:00:00 AM","","","213506","True","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1440",
"None","Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW, Assisted Living Services ECS","","1440","60008769","30675","BH  ","SUN TERRACE PROSSER","OP    ","2131 WINE COUNTRY ROAD","PROSSER","WA","99350","Benton","2131 WINE COUNTRY ROAD","PROSSER","WA","99350","(509) 786-3300","","(509) 786-3350","1G","","1027XS-12 , 1006XS-12 , 1002XS-12 , 1002XS-12 ","Herrera, Carrie L.","95","10/31/2026 12:00:00 AM","","","213506","True","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1440",
"None","Enhanced Adult Residential Care, Assisted Living SOW, Assisted Living Services ECS, Adult Residential Care","","2536","60001071","46079","BH  ","Three Rivers Place Senior Living","OP    ","1108 W 5th Ave","Kennewick","WA","99336","Benton","1108 W 5th Ave","Kennewick","WA","99336","(509) 582-0207","","(509) 582-6877","1G","","1006XS-12 , 1002XS-12 , 1006XS-12 , 1007XS-12 ","WILLIAMS, TONYA","40","11/30/2026 12:00:00 AM","","","750574","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2536",
"None","Specialized Dementia Care, Enhanced Adult Residential Care","","2743","60009659","50764","BH  ","Windsong at Southridge","OP    ","4000 W 24th Avenue","Kennewick","WA","99338","Benton","4000 W 24th Avenue","Kennewick","WA","99338","(509) 202-4327","","(509) 202-4371","1G","","1027XS-12 , 1006XS-12 ","Mares-Rojas, Karla","62","3/31/2027 12:00:00 AM","","","749124","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2743",
"None","Specialized Dementia Care, Enhanced Adult Residential Care","","2721","60008852","50314","BH  ","Blossom Creek Senior Alzheimer Community","OP    ","1740 Madison St","Wenatchee","WA","988014700","Chelan","1740 Madison St","Wenatchee","WA","98801-4700","(509) 662-3500","","","1G","","1027XS-12 , 1006XS-12 ","Sapp, Patricia D.","50","2/28/2027 12:00:00 AM","","","749907","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2721",
"None","Assisted Living SOW","","2722","60001783","50316","BH  ","Blossom Valley Senior Assisted Living Community","OP    ","1701 Orchard Ave","Wenatchee","WA","98801","Chelan","1701 Orchard Ave","Wenatchee","WA","98801","(509) 667-0990","","","1G","","1002XS-12 ","Sapp, Patricia D.","80","2/28/2027 12:00:00 AM","","","749907","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2722",
"None","Enhanced Adult Residential Care, Assisted Living SOW, Assisted Living Services ECS","","2773","60008812","52136","BH  ","Cashmere Assisted Living","OP    ","809 PIONEER AVENUE","CASHMERE","WA","98815","Chelan","809 PIONEER AVENUE","CASHMERE","WA","98815","(509) 782-7600","","","1G","","1006XS-12 , 1002XS-12 , 1006XS-12 ","Hart, Hanna D.","63","7/31/2026 12:00:00 AM","","","1258375","False","No"," ",
"None","Enhanced Adult Residential Care, Community Stability Supports Exhibit, Community Stability Supports Exhibit, Assisted Living SOW, Assisted Living Services ECS, Adult Residential Care","","2067","60000655","40850","BH  ","CHRISTOPHER HOUSE","OP    ","100 S Cleveland Ave","Wenatchee","WA","98801","Chelan","100 S Cleveland Ave","Wenatchee","WA","98801","(509) 888-0773","","(509) 888-5761","1G","","1006XS-12 , 1006XS-12 , 1002XS-12 , 1002XS-12 , 1006XS-12 , 1007XS-12 ","Valencia, Karina","77","7/31/2026 12:00:00 AM","","","744792","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2067",
"None","Assisted Living SOW","","2712","60000661","50249","BH  ","Colonial Vista Senior Living","OP    ","601 OKANOGAN AVE","WENATCHEE","WA","98801","Chelan","601 OKANOGAN AVE","WENATCHEE","WA","98801","(509) 663-3337","","(509) 665-9377","1G","","1002XS-12 ","Capps, Elizabeth","55","12/31/2026 12:00:00 AM","","","492997","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2712",
"None","Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care","","1223","60008702","30510","BH  ","HERITAGE HEIGHTS AT LAKE CHELAN","OP    ","505 E HIGHLAND AVENUE","CHELAN","WA","98816","Chelan","505 E HIGHLAND AVENUE","CHELAN","WA","98816","(509) 682-1998","","(509) 682-1208","1G","","1006XS-12 , 1002XS-12 , 1007XS-12 ","Jay, Maria","40","9/30/2026 12:00:00 AM","","","1062379","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1223",
"None","No Contract","","2225","60001114","42145","BH  ","HIGHGATE SENIOR LIVING","OP    ","1320 S MILLER ST","WENATCHEE","WA","98801","Chelan","1320 S MILLER ST","WENATCHEE","WA","98801","(509) 665-6695","","(509) 662-7827","1G","","","Lehman, Jean F.","75","8/31/2026 12:00:00 AM","","","750058","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2225",
"None","Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW","","1634","60001133","30812","BH  ","MOUNTAIN MEADOWS","OP    ","320 PARK AVE","LEAVENWORTH","WA","98826","Chelan","320 PARK AVE","LEAVENWORTH","WA","98826","(509) 548-4076","(509) 584-0305","(509) 888-4487","1G","","1027XS-12 , 1006XS-12 , 1002XS-12 ","Ledezma, Amanda J.","60","2/28/2027 12:00:00 AM","","","758589","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1634",
"None","Assisted Living SOW","","2762","60008834","51468","BH  ","RiverWest Senior Living","OP    ","900 N WESTERN AVE","WENATCHEE","WA","98801","Chelan","900 N WESTERN AVE","WENATCHEE","WA","98801","(509) 662-2797","","","1G","","1002XS-12 ","Crouch, Chelsea K.","56","2/28/2027 12:00:00 AM","","","471454","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2762",
"None","No Contract","","2772","60009627","51987","BH  ","Wenatchee Memory Care","OP    ","817 Red Apple Road","Wenatchee","WA","98801","Chelan","817 Red Apple Road","Wenatchee","WA","98801","(509) 884-3178","","","1G","","","Parrish, Dylan","62","12/31/2026 12:00:00 AM","","","1195339","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2772",
"None","Assisted Living SOW","","2415","60008956","44333","BH  ","Wenatchee Senior Living","OP    ","1550 CHERRY STREET","WENATCHEE","WA","98801","Chelan","1550 CHERRY STREET","WENATCHEE","WA","98801","(509) 662-8646","","(509) 662-8194","1G","","1002XS-12 ","Grounds, Kelly","84","7/31/2026 12:00:00 AM","","","1311928","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2415",
"None","Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW","","2699","60008925","49693","BH  ","Cottages of Sequim","OP    ","408 W Washington St","Sequim","WA","98382","Clallam","408 W Washington St","Sequim","WA","98382","(360) 683-7047","","(360) 683-8813","3E","","1027XS-12 , 1006XS-12 , 1002XS-12 ","Turner, Julia","60","6/30/2026 12:00:00 AM","","","806796","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2699",
"None","No Contract","","1328","60008753","30595","BH  ","DUNGENESS COURTE MEMORY CARE","OP    ","651 GARRY OAK DR","SEQUIM","WA","98382","Clallam","651 GARRY OAK DR","SEQUIM","WA","98382","(360) 582-9309","","(360) 582-9315","3E","","","Magill, Andrea Andi M.","44","6/30/2026 12:00:00 AM","","","448159","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1328",
"None","Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living Services ECS","","2378","60009591","44047","BH  ","Highland Court Memory Care","OP    ","1704 Melody Ln","Port Angeles","WA","98362","Clallam","1704 Melody Ln","Port Angeles","WA","98362","(360) 452-9086","(360) 452-9877","","3E","","1027XS-12 , 1006XS-12 , 1006XS-12 ","Milligan, Helen N.","43","8/31/2026 12:00:00 AM","","","182693","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2378",
"None","No Contract","","2781","60001206","52285","BH  ","Laurel Place","OP    ","1133 E Park Ave","Port Angeles","WA","98362","Clallam","1133 E Park Ave","Port Angeles","WA","98362","(360) 452-7201","","","3E","","","Jangula, Holly","46","2/28/2027 12:00:00 AM","","","833991","False","No"," ",
"None","No Contract","","2332","60000836","43702","BH  ","Park View Villas","OP    ","1430 Park View Lane","Port Angeles","WA","98363","Clallam","2020 A St Se Ste 101","Auburn","WA","98002","(360) 452-7222","","(360) 452-4958","3E","","","Blessing, Tammy","65","12/31/2026 12:00:00 AM","","","796391","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2332",
"None","No Contract","","2652","60000879","48280","BH  ","Sherwood Assisted Living","OP    ","550 W HENDRICKSON RD","SEQUIM","WA","98382","Clallam","550 W HENDRICKSON RD","SEQUIM","WA","98382","(360) 683-3348","","(360) 681-7518","3E","","","Birkland, Janaye","107","9/30/2026 12:00:00 AM","","","1116411","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2652",
"None","Assisted Living SOW, Assisted Living Services ECS","","1195","60001325","30488","BH  ","ST ANDREWS PLACE ASSISTED LIVING","OP    ","520 EAST PARK AVE","PORT ANGELES","WA","98362","Clallam","520 EAST PARK AVE","PORT ANGELES","WA","98362","(360) 417-3418","","(360) 457-3468","3E","","1002XS-12 , 1002XS-12 ","Dodd, Laura L.","41","1/31/2027 12:00:00 AM","","","547350","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1195",
"None","No Contract","","2728","60008701","50153","BH  ","Trustwell Living at Sinclair Place","OP    ","680 W Prairie St","Sequim","WA","98382","Clallam","680 W Prairie St","Sequim","WA","98382","(360) 681-3385","","(360) 683-4463","3E","","","Gibbons, Kimberly","68","6/30/2026 12:00:00 AM","","","750047","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2728",
"None","Assisted Living SOW","","1588","60008891","30780","BH  ","ARBOR RIDGE ASSISTED LIVING","OP    ","9501 NE Hazel Dell Ave","Vancouver","WA","98665","Clark","9501 NE Hazel Dell Ave","Vancouver","WA","98665","(360) 576-8883","","(360) 573-3781","3E","","1002XS-12 ","Green, Christina","64","11/30/2026 12:00:00 AM","","","828567","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1588",
"None","Assisted Living SOW","","2753","60008869","49577","BH  ","Arcadia at Lookout Ridge Assisted Living","OP    ","2300 W 9th St","Washougal","WA","98671","Clark","2300 W 9th St","Washougal","WA","98671","(360) 335-1238","","(360) 833-0615","3E","","1002XS-12 ","Fluman, Noelle T.","74","1/31/2027 12:00:00 AM","","","582917","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2753",
"None","No Contract","","2321","60009579","42436","BH  ","Bonaventure of Salmon Creek","OP    ","13700 NE Salmon Creek Ave","Vancouver","WA","98686","Clark","3425 Boone Rd SE","Salem","OR","97317","(360) 816-4221","","(360) 816-4225","3E","","","Hills, Jennifer","89","3/31/2027 12:00:00 AM","","","749901","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2321",
"None","No Contract","","2535","60009634","45344","BH  ","Bonaventure of Vancouver","OP    ","9317 NE 86th Street","Vancouver","WA","98662","Clark","3425 Boone Rd SE","Salem","OR","97317","","(360) 718-3521","","3E","","","Hills, Jennifer","125","2/28/2027 12:00:00 AM","","","749901","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2535",
"None","Assisted Living SOW","","2261","60008778","42360","BH  ","Brookdale Fishers Landing","OP    ","17171 SE 22ND DR","VANCOUVER","WA","98683","Clark","17171 SE 22ND DR","VANCOUVER","WA","98683","(360) 885-1400","(360) 885-4525","","3E","","1002XS-12 ","Vargas, Casandra A.","91","6/30/2026 12:00:00 AM","","","468772","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2261",
"None","Specialized Dementia Care, Enhanced Adult Residential Care","","2308","60008832","42389","BH  ","Brookdale Vancouver Stonebridge","OP    ","7900 NE Vancouver Mall Dr","Vancouver","WA","98662","Clark","7900 NE Vancouver Mall Dr","Vancouver","WA","98662","(360) 882-8800","(360) 253-4871","","3E","","1027XS-12 , 1006XS-12 ","Wilson, Randall","80","2/28/2027 12:00:00 AM","","","749301","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2308",
"None","Assisted Living SOW","","784","60000642","30164","BH  ","CASCADE RETIREMENT INN","OP    ","11613 SE 7th St","Vancouver","WA","98683","Clark","","","  ","","(360) 254-3555","","(360) 253-2727","3E","","1002XS-12 ","Wart, Jason","120","2/28/2027 12:00:00 AM","","","202129","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=784",
"None","Assisted Living SOW","","2776","60008863","52312","BH  ","Clearwater Springs Assisted Living","OP    ","201 NW 78th St","Vancouver","WA","98665","Clark","201 NW 78th St","Vancouver","WA","98665","(360) 548-3344","","","3E","","1002XS-12 ","McComb, Kristina","95","12/31/2026 12:00:00 AM","","","544691","False","No"," ",
"None","No Contract","","2640","60009517","47794","BH  ","Cogir at the Quarry","OP    ","415 SE 177th Ave","Vancouver","WA","98683","Clark","415 SE 177th Ave","Vancouver","WA","98683","(360) 944-6000","","(360) 514-5459","3E","","","Dunkley, Howard","220","12/31/2026 12:00:00 AM","","","1120041","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2640",
"None","No Contract","","2645","60008840","47795","BH  ","Cogir of Glenwood Place","OP    ","5500 NE 82nd Ave","Vancouver","WA","98662","Clark","5500 NE 82nd Ave","Vancouver","WA","98662","(360) 892-1100","","(360) 896-3594","3E","","","Pineda, Andrea","253","1/31/2027 12:00:00 AM","","","876112","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2645",
"None","No Contract","","2472","60001853","45281","BH  ","Cogir Vancouver Orchards","OP    ","10011 NE 118th Ave","Vancouver","WA","98682","Clark","10011 NE 118th Ave","Vancouver","WA","98682","(360) 896-6081","","(360) 604-3155","3E","","","Woolery, Debbie","90","4/30/2027 12:00:00 AM","","","749817","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2472",
"None","Specialized Dementia Care, Enhanced Adult Residential Care","","2765","60001120","51644","BH  ","Creekside Place","OP    ","208 SW 20th Ave","Battle Ground","WA","98604","Clark","208 SW 20th Ave","Battle Ground","WA","98604","(360) 667-1085","","(503) 716-8049","3E","","1027XS-12 , 1006XS-12 ","Gogas-Delaware, Amanda S.","46","10/31/2026 12:00:00 AM","","","750350","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2765",
